token_id,question,timeframe,resolved,outcome,token_side,shares,whale_trade_count,whale_addresses,whale_wins_usd,whale_losses_usd,whale_pnl_by_address,whale_net_pnl_by_address
42167371293652751694712757153576848327440464904466307322933328946647441636706,"XRP Up or Down - January 25, 8PM ET",hourly,1,YES,NO,646.5736839999997,36,0xc03e61eb…8582|0x537494c5…042e|0xb548b896…08f3|0xf247584e…5216|0x38b7c57b…fccd,33.92246,36.44805999999999,0xc03e61eb0c273f91a479310e0727a73033578582:4.50/0.00|0x537494c54dee9162534675712f2e625c9713042e:0.00/11.05|0xb548b896c743baed7502077a819f4e6afea108f3:5.23/0.00|0xf247584e41117bbbe4cc06e4d2c95741792a5216:2.52/1.20|0x38b7c57bc69e63e70585d858346889960a05fccd:12.15/0.00|0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:0.00/22.95|0x8f0247a94f4d3853a97061ccac5097ae96b5baad:6.20/0.00|0x06b6947480380733510e2f0e22a6f704e6191332:0.98/0.00|0x941e9756c3588cdc806d9e1005528a5cdcfa1fbf:0.33/0.42|0xbbf93c3d184f8a6c558c93be38ead60cf53e2584:2.01/0.83,0xc03e61eb0c273f91a479310e0727a73033578582:+4.50|0x537494c54dee9162534675712f2e625c9713042e:-11.05|0xb548b896c743baed7502077a819f4e6afea108f3:+5.23|0xf247584e41117bbbe4cc06e4d2c95741792a5216:+1.32|0x38b7c57bc69e63e70585d858346889960a05fccd:+12.15|0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:-22.95|0x8f0247a94f4d3853a97061ccac5097ae96b5baad:+6.20|0x06b6947480380733510e2f0e22a6f704e6191332:+0.98|0x941e9756c3588cdc806d9e1005528a5cdcfa1fbf:-0.08|0xbbf93c3d184f8a6c558c93be38ead60cf53e2584:+1.18
113283460193757712689781360887711683016014050510919490049416484622487081125383,"Bitcoin Up or Down - January 25, 8:00PM-8:15PM ET",15min,1,YES,YES,11246.363859000001,187,0x4bfb41d5…982e|0x0e432ec0…fa38|0x0100f1a3…a303|0xa1898c6e…a013|0xb1f54867…751e,9796.0,65.467385,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:8598.49/0.00|0x0e432ec06ce36cb0acffc52b36138ff578bdfa38:3.00/47.73|0x0100f1a36f952615e6e36e13ebe92d2b9929a303:0.00/13.84|0xa1898c6e20b82672f0d11710b99430302913a013:35.00/1.58|0xb1f548676a3d2e5eaf899eda5257700e8c3c751e:9.00/0.68|0xbbc109aeb84ef7a18371458ed9c9ae46bf3a0ada:665.11/0.00|0x0a4423d8a806b4df953756c4978ebeef784ee250:0.00/0.55|0xd62f5c6cc1fe43b40d1684376f23df351f34f49b:485.40/0.00|0xef6b44107009ceb4445d883ac5355b571aa2972e:0.00/0.49|0x21148d5f125816071e317a5cf168dd228b80d984:0.00/0.59,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:+8598.49|0x0e432ec06ce36cb0acffc52b36138ff578bdfa38:-44.73|0x0100f1a36f952615e6e36e13ebe92d2b9929a303:-13.84|0xa1898c6e20b82672f0d11710b99430302913a013:+33.42|0xb1f548676a3d2e5eaf899eda5257700e8c3c751e:+8.32|0xbbc109aeb84ef7a18371458ed9c9ae46bf3a0ada:+665.11|0x0a4423d8a806b4df953756c4978ebeef784ee250:-0.55|0xd62f5c6cc1fe43b40d1684376f23df351f34f49b:+485.40|0xef6b44107009ceb4445d883ac5355b571aa2972e:-0.49|0x21148d5f125816071e317a5cf168dd228b80d984:-0.59
54483840147229409026121614340274771436943746857434552930792062072882215181814,"Will Ethereum dip to $2,600 in January?",monthly,0,,,21381.541494,233,0x6916cc00…2fd4|0x4bfb41d5…982e|0xeee92f1c…7ecb|0xf234dde4…958a|0x10867717…7b3c,0.0,0.0,,
87069058062386204514440746177167230003061183275952307043291532056740705911527,Pelicans vs. Spurs,daily,1,Pelicans,Spurs,205901.38913399982,725,0x4bfb41d5…982e|0xe9cbb1c9…d096|0xd9e0aaca…05f2|0x507e52ef…beae|0xa6a856a8…5009,43702.650743,53014.80658999999,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:0.00/35829.15|0xe9cbb1c9b3f7f411dd4fdf2ea7afa780c8b4d096:5351.54/1628.95|0xd9e0aaca471f489be338fd0f91a26e8669a805f2:3726.46/627.95|0x507e52ef684ca2dd91f90a9d26d149dd3288beae:12343.18/309.10|0xa6a856a8c8a7f14fd9be6ae11c367c7cbb755009:0.00/5030.30|0xb2e4567925b79231265adf5d54687ddfb761bc51:6471.03/0.00|0x19a0147034743b04ee2b57d6e526efc3af33ac39:6768.41/2317.41|0xdb7813efbd5911da0c54e6638170e9eda4a85206:4260.25/545.77|0x3f085518960a0462b5b9dc076c909dd77cd7ed44:0.00/6726.18|0x5993ba19348ed5f2f265464148ee82f9693033a2:4781.78/0.00,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:-35829.15|0xe9cbb1c9b3f7f411dd4fdf2ea7afa780c8b4d096:+3722.59|0xd9e0aaca471f489be338fd0f91a26e8669a805f2:+3098.52|0x507e52ef684ca2dd91f90a9d26d149dd3288beae:+12034.08|0xa6a856a8c8a7f14fd9be6ae11c367c7cbb755009:-5030.30|0xb2e4567925b79231265adf5d54687ddfb761bc51:+6471.03|0x19a0147034743b04ee2b57d6e526efc3af33ac39:+4451.00|0xdb7813efbd5911da0c54e6638170e9eda4a85206:+3714.48|0x3f085518960a0462b5b9dc076c909dd77cd7ed44:-6726.18|0x5993ba19348ed5f2f265464148ee82f9693033a2:+4781.78
62137382206455122910044392885746135421707675854869014474877040856050373467267,Ethereum Up or Down on January 26?,daily,1,YES,NO,238864.617169,2828,0xe5f85d07…8d75|0xa42f127d…5f5a|0x0fe40e88…01b7|0x4bfb41d5…982e|0x80e9d5d1…7967,79514.91312299998,74914.43631400004,0xe5f85d076f0b1edd4ec89bfb95e123a9036a8d75:21191.05/0.00|0xa42f127d7e8df9f16881ffcc9ed0bc0326875f5a:18291.95/11061.32|0x0fe40e887acbd0022f89d996acce26ab428501b7:9659.07/242.20|0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:0.00/34427.98|0x80e9d5d164d0917299c9efb18a739338c6cd7967:0.00/21209.30|0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb:5073.30/146.00|0x99cf17d049a800f56f0e6a69b7c2693b0820a86a:7811.99/287.10|0x71a70f24538d885d1b45f9cea158a2cdf2e56fcf:0.00/7188.24|0x85e9d6b150017fa1a7d58eb22a5f9390c3065e96:5427.52/0.00|0x7277ac5c4c24771d8ed0bcd75816e93800b1ab80:12060.03/352.30,0xe5f85d076f0b1edd4ec89bfb95e123a9036a8d75:+21191.05|0xa42f127d7e8df9f16881ffcc9ed0bc0326875f5a:+7230.63|0x0fe40e887acbd0022f89d996acce26ab428501b7:+9416.87|0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:-34427.98|0x80e9d5d164d0917299c9efb18a739338c6cd7967:-21209.30|0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb:+4927.30|0x99cf17d049a800f56f0e6a69b7c2693b0820a86a:+7524.89|0x71a70f24538d885d1b45f9cea158a2cdf2e56fcf:-7188.24|0x85e9d6b150017fa1a7d58eb22a5f9390c3065e96:+5427.52|0x7277ac5c4c24771d8ed0bcd75816e93800b1ab80:+11707.73
19386047208111294225214824907316679607646051079560857939124268348252497126689,Ethereum Up or Down on January 26?,daily,1,YES,YES,39733.62815199998,654,0xa42f127d…5f5a|0x4bfb41d5…982e|0xeee92f1c…7ecb|0x99cf17d0…a86a|0x39c2182c…2bf9,36540.242854,14693.818564000007,0xa42f127d7e8df9f16881ffcc9ed0bc0326875f5a:4724.45/4032.27|0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:22800.59/0.00|0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb:0.00/1584.64|0x99cf17d049a800f56f0e6a69b7c2693b0820a86a:0.00/2382.86|0x39c2182c34ba48177a29aafcd0932249dd3c2bf9:265.04/103.43|0xfd689525582c0c9bc90ecb0004c717cf239e90ef:0.00/5433.00|0x85e9d6b150017fa1a7d58eb22a5f9390c3065e96:5896.00/0.00|0x80e9d5d164d0917299c9efb18a739338c6cd7967:2854.16/0.00|0x5a533942405dad26d100583fa74f6ca68c4e505a:0.00/616.06|0x23f9d42e1812ed1b55236116c55d7a29b9e837b7:0.00/541.56,0xa42f127d7e8df9f16881ffcc9ed0bc0326875f5a:+692.18|0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:+22800.59|0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb:-1584.64|0x99cf17d049a800f56f0e6a69b7c2693b0820a86a:-2382.86|0x39c2182c34ba48177a29aafcd0932249dd3c2bf9:+161.61|0xfd689525582c0c9bc90ecb0004c717cf239e90ef:-5433.00|0x85e9d6b150017fa1a7d58eb22a5f9390c3065e96:+5896.00|0x80e9d5d164d0917299c9efb18a739338c6cd7967:+2854.16|0x5a533942405dad26d100583fa74f6ca68c4e505a:-616.06|0x23f9d42e1812ed1b55236116c55d7a29b9e837b7:-541.56
81143734445600451918383804556976923354499218667071309494657228489646638994264,Heat vs. Suns,daily,1,Heat,Suns,232797.48004000017,689,0xbde579ea…9c38|0x08c59894…43ed|0x204f72f3…5e14|0x4bfb41d5…982e|0x19a01470…ac39,44152.820843,43300.32114700001,0xbde579ead903b9cf5c3fc4be5a0c515464769c38:2118.74/0.00|0x08c59894c5e32f0e5406799e49a9a33f4b7643ed:0.00/3355.18|0x204f72f35326db932158cba6adff0b9a1da95e14:0.00/2440.58|0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:0.00/30976.33|0x19a0147034743b04ee2b57d6e526efc3af33ac39:5799.82/821.50|0xe9cbb1c9b3f7f411dd4fdf2ea7afa780c8b4d096:7618.90/723.97|0x79e505336f5f5e252378d121b7236828af9c9417:7371.77/753.30|0x507e52ef684ca2dd91f90a9d26d149dd3288beae:2728.12/282.22|0xb2e4567925b79231265adf5d54687ddfb761bc51:18515.47/986.72|0xdb7813efbd5911da0c54e6638170e9eda4a85206:0.00/2960.53,0xbde579ead903b9cf5c3fc4be5a0c515464769c38:+2118.74|0x08c59894c5e32f0e5406799e49a9a33f4b7643ed:-3355.18|0x204f72f35326db932158cba6adff0b9a1da95e14:-2440.58|0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:-30976.33|0x19a0147034743b04ee2b57d6e526efc3af33ac39:+4978.32|0xe9cbb1c9b3f7f411dd4fdf2ea7afa780c8b4d096:+6894.93|0x79e505336f5f5e252378d121b7236828af9c9417:+6618.47|0x507e52ef684ca2dd91f90a9d26d149dd3288beae:+2445.90|0xb2e4567925b79231265adf5d54687ddfb761bc51:+17528.76|0xdb7813efbd5911da0c54e6638170e9eda4a85206:-2960.53
110571706495652130764165511260796608544702511847736757579560356009000232751745,Will Solana dip to $110 in January?,monthly,0,,,9157.795943,97,0x6916cc00…2fd4|0x6af52598…42ce|0x989c7dfa…69f4|0x4bfb41d5…982e|0x69af844d…0a19,0.0,0.0,,
39052605243364376721374596345142503316963452658472485159940309261360781384159,"Bitcoin Up or Down - January 25, 7PM ET",hourly,1,YES,YES,12197.099999999997,41,0x4bfb41d5…982e|0x6b843ff7…de18|0x93b110ff…746e|0x3ebfed1d…b59c|0x5933e181…d728,12197.099999999997,11.3382,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:12197.10/0.00|0x6b843ff7a87fe1f81336b360b6843d060356de18:0.00/0.11|0x93b110ff31deb58847e841b3cbc6535b3e7b746e:0.00/7.44|0x3ebfed1d91876fcc4ef929a73372e262a923b59c:0.00/0.17|0x5933e1819b5442ca9e49182a7492f323517fd728:0.00/0.94|0xaf8a41e53965898b4c6c88492c5660b33c17b386:0.00/0.34|0xfa0b5073d4f42d64ee544722711d6a27961c9f2e:0.00/0.71|0xd7132f851f207199bfbc564962cef623ef3c0943:0.00/0.25|0x99e459b62722a47c0439d0a801f8e22db16141c8:0.00/0.27|0xab31b6afedba0018e357cda475ca8382c65d06bd:0.00/1.12,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e:+12197.10|0x6b843ff7a87fe1f81336b360b6843d060356de18:-0.11|0x93b110ff31deb58847e841b3cbc6535b3e7b746e:-7.44|0x3ebfed1d91876fcc4ef929a73372e262a923b59c:-0.17|0x5933e1819b5442ca9e49182a7492f323517fd728:-0.94|0xaf8a41e53965898b4c6c88492c5660b33c17b386:-0.34|0xfa0b5073d4f42d64ee544722711d6a27961c9f2e:-0.71|0xd7132f851f207199bfbc564962cef623ef3c0943:-0.25|0x99e459b62722a47c0439d0a801f8e22db16141c8:-0.27|0xab31b6afedba0018e357cda475ca8382c65d06bd:-1.12
62595435619678438799673612599999067112702849851098967060818869994133628780778,Khamenei out as Supreme Leader of Iran by January 31?,daily,0,,,333658.9978809997,482,0x4bfb41d5…982e|0x3f62acb9…e744|0xc8ab97a9…6418|0x4b7410ae…e8d7|0x8a4c788f…532b,0.0,0.0,,
