address,timeframe,trade_count,wins,losses,wins_usd,losses_usd,volume,profit,win_rate,in_tier,resolved_trades
0x0001d0f9ab13ff232b66c8bc1f57621fdfb186db,hourly,17,5,12,25.87,11.92,70.58,13.95,0.2941,0,17
0x000e82e39c383d0b810b1902545a0faf5b148f8f,15min,11,5,6,34.09,76.23,70.59,-42.14,0.4545,0,11
0x00214ec9a3abf6ea1b417dc5bf553de732ee7c05,monthly,24,0,0,0.0,0.0,4274.43,0.0,0.0,0,0
0x002dcd37b0b8fa8db98236e599fe1b90d6272561,monthly,11,10,1,691.34,6.31,658.23,685.03,0.9091,1,11
0x003f3a0c1f2fb3de314c0cd4a2c766676de01599,15min,22,6,16,96.62,34.66,319.89,61.96,0.2727,0,22
0x00463c972810645c2ff91a960fc4cf99b0b450cc,15min,93,51,42,131.72,113.45,240.14,18.27,0.5484,0,93
0x005025fca55bbb170c24e1877a91ed6324ab73a6,daily,11,0,0,0.0,0.0,7.72,0.0,0.0,0,0
0x006608d41f0083473aef36b385d45ed526fab477,daily,11,5,6,35.58,32.7,64.63,2.88,0.4545,0,11
0x00662f5c49e2576cb0736bcfc2c86a9873d3394f,15min,205,78,127,1289.66,621.58,3706.75,668.08,0.3805,0,205
0x00662f5c49e2576cb0736bcfc2c86a9873d3394f,hourly,86,25,61,852.83,164.83,1010.73,688.0,0.2907,0,86
0x00662f5c49e2576cb0736bcfc2c86a9873d3394f,monthly,14,2,0,73.31,0.0,1923.27,73.31,1.0,1,2
0x006925fda67589364739aecde373029676de6024,15min,60,39,21,484.24,90.66,610.06,393.58,0.65,0,60
0x006ac510a7d4a74b115cd0c08a6b193776d5d199,daily,11,4,7,115.09,94.98,312.14,20.1,0.3636,0,11
0x0079bfcd9e9bc63dec535a7a699490bf55575f43,15min,40,12,28,272.96,117.04,652.91,155.93,0.3,0,40
0x008a1b591c6a88fe202cbc00ef3af54a4e7b1b5b,15min,41,12,29,220.31,181.67,649.35,38.65,0.2927,0,41
0x0095c195a10cfcd8e6b6f0aa3240d5f6a4154b3b,15min,43,40,3,83.94,4.59,73.59,79.34,0.9302,1,43
