address,total_net_pnl_usd,num_tokens,win_tokens,loss_tokens,win_rate,best_timeframe,tf_win_rate
0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"+9,929,288.16",2664,1534,1126,0.58,monthly,0.62
0x3f1080f86e8624206766bca31c44ea4f0dda76b3,"+215,614.88",15,11,4,0.73,15min,0.79
0x9976874011b081e1e408444c579f48aa5b5967da,"+184,576.49",1,1,0,1.00,daily,0.96
0xc6b6ffce6c52b6fdf4bad57de303939f19ab13ac,"+175,495.14",2,1,1,0.50,-,-
0xf397068fa02ee20639d54ae4595efeeff595e1da,"+114,884.00",2,2,0,1.00,-,-
0x42592084120b0d5287059919d2a96b3b7acb936f,"+97,241.98",1,1,0,1.00,daily,0.99
0x52ecea7b3159f09db589e4f4ee64872fd0bba6f3,"+92,546.23",5,5,0,1.00,daily,0.81
0xe60a9b0be459d9849bc2339dac20517639ae6a47,"+79,959.80",36,15,21,0.42,daily,0.55
0xfa5f472ac88d746f769fcf694c2346e2ec59005f,"+69,782.02",3,2,1,0.67,daily,0.62
0x1455445e9a775cfa3fe9fc4b02bb4d2f682ae5cd,"+66,855.84",5,4,1,0.80,daily,0.74
0x3b5c629f114098b0dee345fb78b7a3a013c7126e,"+66,760.45",9,4,5,0.44,daily,0.55
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,"+64,865.11",11,5,6,0.45,monthly,0.87
0x01542a212c9696da5b409cae879143b8966115a8,"+59,801.07",4,2,2,0.50,daily,0.53
0x0554756f09f1c66c413b1697b1ca491fefc23de4,"+58,308.06",6,6,0,1.00,-,-
0x2dc19b37c4e3aa62a74a65e39f9e9cdd1e2174fc,"+57,456.93",12,12,0,1.00,daily,1.00
0xee613b3fc183ee44f9da9c05f53e2da107e3debf,"+56,046.28",18,11,7,0.61,daily,0.67
0xd189664c5308903476f9f079820431e4fd7d06f4,"+53,243.21",21,17,4,0.81,daily,0.80
0xc257ea7e3a81ca8e16df8935d44d513959fa358e,"+49,042.62",3,2,1,0.67,daily,0.69
0xefb92699291627fbc395550648815b1241c3e74f,"+47,587.98",4,2,2,0.50,daily,0.54
0xec3cea18720a22696bda7b784a9d19ece59dbbe0,"+46,050.00",2,2,0,1.00,hourly,0.69
0xdf1b70066e58788c7b05c53dd9cc4fd412d2b963,"+45,685.33",10,10,0,1.00,daily,1.00
0x507e52ef684ca2dd91f90a9d26d149dd3288beae,"+44,964.66",96,55,41,0.57,daily,0.58
0x9a4d3352165b0cd13147af680ca64ba8a9cc619a,"+44,769.99",4,2,2,0.50,-,-
0x8f19df5088b81721175218d225443ec28e55b0ca,"+43,739.57",1,1,0,1.00,daily,0.84
0x06c0d07d5b59b25316bf1e6007aca6ad8f20bc23,"+43,634.81",6,6,0,1.00,monthly,1.00
0xf195721ad850377c96cd634457c70cd9e8308057,"+42,452.89",2,2,0,1.00,daily,0.84
0xa42f127d7e8df9f16881ffcc9ed0bc0326875f5a,"+42,331.01",8,8,0,1.00,daily,0.61
0x27cb4e127fbfd433122ff801efc10954f33b169e,"+40,983.29",6,4,2,0.67,daily,0.98
0xdeb8d276dda90fd4524b1991486c7d01df221a89,"+40,799.98",2,2,0,1.00,hourly,0.90
0xf2378a49dea653a32d04050a7fc5e4a845cc6c7a,"+40,600.00",2,2,0,1.00,-,-
0x533017ca37064a7201a5a633bfd1347d5ad20bfa,"+38,464.05",2,2,0,1.00,daily,0.89
0xdc4f08727c65afc4731b75cf1ed265666b7b4652,"+38,353.20",2,2,0,1.00,monthly,1.00
0xd106952ebf30a3125affd8a23b6c1f30c35fc79c,"+38,287.57",13,7,6,0.54,daily,0.85
0x769056fb242c80b64ac3b74a8161a70468fd74e1,"+37,288.02",2,1,1,0.50,daily,0.89
0xcae693bcf9696a2ebf0a62de767719b45f354f85,"+36,344.80",21,17,4,0.81,daily,0.60
0xe041d09715148a9a4a7a881a5580da2c0701f2e5,"+33,289.49",171,113,58,0.66,15min,0.54
0xd0d6053c3c37e727402d84c14069780d360993aa,"+31,845.70",265,176,89,0.66,15min,0.64
0x6e0254bd74e592700ef62d70201b936038dbbfce,"+31,506.84",1,1,0,1.00,daily,0.75
0x161eb16874e34f545991e774b4e1ac5b65f86ef0,"+31,417.51",8,6,2,0.75,daily,0.46
0x6ffb4354cbe6e0f9989e3b55564ec5fb8646a834,"+31,116.37",2,2,0,1.00,daily,0.53
0x03be5ade6964df9ee0b22b7e75ee6a83f12ee619,"+30,435.00",5,5,0,1.00,-,-
0xb8e6281d22dc80e08885ebc7d819da9bf8cdd504,"+30,364.12",3,2,1,0.67,daily,0.47
0x7d92fd69504bfd391162e1442cb784c0af408676,"+29,090.44",1,1,0,1.00,daily,0.77
0xf2ce7b12a3d385ccbdacb5d16bb1596820c65462,"+28,929.06",3,3,0,1.00,daily,1.00
